Game ID,Wk,Day,Date,Time,Home,xG Home,G Home,Away,xG Away,G Away,League,Season,Score,Match Link
279,26.0,Sun,2020-03-08,15:00,Milan,1.8,1,Genoa,1.9,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/81983acf/Milan-Genoa-March-8-2020-Serie-A
280,26.0,Sun,2020-03-08,15:00,Sampdoria,1.6,2,Hellas Verona,1.6,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/9cfb3488/Sampdoria-Hellas-Verona-March-8-2020-Serie-A
281,26.0,Sun,2020-03-08,18:00,Udinese,0.9,0,Fiorentina,0.4,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/bdb59761/Udinese-Fiorentina-March-8-2020-Serie-A
282,26.0,Sun,2020-03-08,20:45,Juventus,1.1,2,Inter,0.6,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/3e2338d1/Derby-dItalia-Juventus-Internazionale-March-8-2020-Serie-A
283,26.0,Mon,2020-03-09,18:30,Sassuolo,1.8,3,Brescia,0.5,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/8f0d9171/Sassuolo-Brescia-March-9-2020-Serie-A
285,25.0,Sat,2020-06-20,19:30,Torino,2.4,1,Parma,0.2,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/629ac3e4/Torino-Parma-June-20-2020-Serie-A
286,25.0,Sat,2020-06-20,21:45,Hellas Verona,0.5,2,Cagliari,1.0,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/cfacfcaa/Hellas-Verona-Cagliari-June-20-2020-Serie-A
287,25.0,Sun,2020-06-21,19:30,Atalanta,2.5,4,Sassuolo,2.6,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/f5729c17/Atalanta-Sassuolo-June-21-2020-Serie-A
288,25.0,Sun,2020-06-21,21:45,Inter,2.3,2,Sampdoria,0.5,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/8eee2633/Internazionale-Sampdoria-June-21-2020-Serie-A
290,27.0,Mon,2020-06-22,19:30,Fiorentina,2.3,1,Brescia,1.2,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/dc1379d4/Fiorentina-Brescia-June-22-2020-Serie-A
291,27.0,Mon,2020-06-22,19:30,Lecce,1.3,1,Milan,2.3,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/e1f17567/Lecce-Milan-June-22-2020-Serie-A
292,27.0,Mon,2020-06-22,21:45,Bologna,0.8,0,Juventus,1.7,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/711e1d1f/Bologna-Juventus-June-22-2020-Serie-A
293,27.0,Tue,2020-06-23,19:30,Hellas Verona,1.7,0,Napoli,1.7,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/38851d41/Hellas-Verona-Napoli-June-23-2020-Serie-A
294,27.0,Tue,2020-06-23,19:30,SPAL,1.1,0,Cagliari,1.5,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/7509e314/SPAL-Cagliari-June-23-2020-Serie-A
295,27.0,Tue,2020-06-23,21:45,Genoa,2.1,1,Parma,2.0,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/9637c1c8/Genoa-Parma-June-23-2020-Serie-A
296,27.0,Tue,2020-06-23,21:45,Torino,0.9,1,Udinese,1.6,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/b661835e/Torino-Udinese-June-23-2020-Serie-A
297,27.0,Wed,2020-06-24,19:30,Inter,3.2,3,Sassuolo,2.0,3,Serie-A,2019-2020,0,https://fbref.com/en/matches/d54044f1/Internazionale-Sassuolo-June-24-2020-Serie-A
298,27.0,Wed,2020-06-24,21:45,Atalanta,2.4,3,Lazio,0.5,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/75012b50/Atalanta-Lazio-June-24-2020-Serie-A
299,27.0,Wed,2020-06-24,21:45,Roma,2.4,2,Sampdoria,1.2,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/ab192cc2/Roma-Sampdoria-June-24-2020-Serie-A
301,28.0,Fri,2020-06-26,21:45,Juventus,3.9,4,Lecce,0.3,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/38c0ba71/Juventus-Lecce-June-26-2020-Serie-A
302,28.0,Sat,2020-06-27,17:15,Brescia,1.5,2,Genoa,2.4,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/7a2893f2/Brescia-Genoa-June-27-2020-Serie-A
303,28.0,Sat,2020-06-27,19:30,Cagliari,1.6,4,Torino,1.4,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/13355abd/Cagliari-Torino-June-27-2020-Serie-A
304,28.0,Sat,2020-06-27,21:45,Lazio,1.5,2,Fiorentina,0.5,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/107698b8/Lazio-Fiorentina-June-27-2020-Serie-A
305,28.0,Sun,2020-06-28,17:15,Milan,2.4,2,Roma,0.6,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/fcc08302/Milan-Roma-June-28-2020-Serie-A
306,28.0,Sun,2020-06-28,19:30,Sampdoria,1.1,1,Bologna,2.4,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/1cba2796/Sampdoria-Bologna-June-28-2020-Serie-A
307,28.0,Sun,2020-06-28,19:30,Sassuolo,1.4,3,Hellas Verona,1.2,3,Serie-A,2019-2020,0,https://fbref.com/en/matches/2e6a73af/Sassuolo-Hellas-Verona-June-28-2020-Serie-A
308,28.0,Sun,2020-06-28,19:30,Udinese,1.6,2,Atalanta,0.8,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/d5ff17b3/Udinese-Atalanta-June-28-2020-Serie-A
309,28.0,Sun,2020-06-28,19:30,Napoli,1.9,3,SPAL,0.5,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/fb94d82b/Napoli-SPAL-June-28-2020-Serie-A
310,28.0,Sun,2020-06-28,21:45,Parma,1.2,1,Inter,2.2,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/4d6b7469/Parma-Internazionale-June-28-2020-Serie-A
312,29.0,Tue,2020-06-30,19:30,Torino,0.9,1,Lazio,0.9,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/399a5268/Torino-Lazio-June-30-2020-Serie-A
313,29.0,Tue,2020-06-30,21:45,Genoa,0.2,1,Juventus,0.8,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/0331e718/Genoa-Juventus-June-30-2020-Serie-A
314,29.0,Wed,2020-07-01,19:30,Inter,3.7,6,Brescia,0.5,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/0f3622bf/Internazionale-Brescia-July-1-2020-Serie-A
315,29.0,Wed,2020-07-01,19:30,Bologna,1.0,1,Cagliari,1.0,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/a9a5d7eb/Bologna-Cagliari-July-1-2020-Serie-A
316,29.0,Wed,2020-07-01,21:45,SPAL,0.3,2,Milan,1.8,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/0d5984e4/SPAL-Milan-July-1-2020-Serie-A
317,29.0,Wed,2020-07-01,21:45,Fiorentina,1.3,1,Sassuolo,1.8,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/155edfa9/Fiorentina-Sassuolo-July-1-2020-Serie-A
318,29.0,Wed,2020-07-01,21:45,Lecce,1.7,1,Sampdoria,2.0,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/52d389e6/Lecce-Sampdoria-July-1-2020-Serie-A
319,29.0,Wed,2020-07-01,21:45,Hellas Verona,2.1,3,Parma,1.6,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/9da7a1f8/Hellas-Verona-Parma-July-1-2020-Serie-A
320,29.0,Thu,2020-07-02,19:30,Atalanta,1.3,2,Napoli,0.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/65316256/Atalanta-Napoli-July-2-2020-Serie-A
321,29.0,Thu,2020-07-02,21:45,Roma,1.3,0,Udinese,2.3,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/15a48a02/Roma-Udinese-July-2-2020-Serie-A
323,30.0,Sat,2020-07-04,17:15,Juventus,1.7,4,Torino,1.7,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/dac442cc/Juventus-Torino-July-4-2020-Serie-A
324,30.0,Sat,2020-07-04,19:30,Sassuolo,1.5,4,Lecce,2.3,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/65350322/Sassuolo-Lecce-July-4-2020-Serie-A
325,30.0,Sat,2020-07-04,21:45,Lazio,0.4,0,Milan,2.2,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/a12f8897/Lazio-Milan-July-4-2020-Serie-A
326,30.0,Sun,2020-07-05,17:15,Inter,2.5,1,Bologna,1.1,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/18e2c00a/Internazionale-Bologna-July-5-2020-Serie-A
327,30.0,Sun,2020-07-05,19:30,Brescia,1.4,2,Hellas Verona,0.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/1b7463ab/Brescia-Hellas-Verona-July-5-2020-Serie-A
328,30.0,Sun,2020-07-05,19:30,Parma,1.5,1,Fiorentina,2.6,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/5ddc4157/Parma-Fiorentina-July-5-2020-Serie-A
329,30.0,Sun,2020-07-05,19:30,Sampdoria,1.2,3,SPAL,1.4,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/7a311dd9/Sampdoria-SPAL-July-5-2020-Serie-A
330,30.0,Sun,2020-07-05,19:30,Cagliari,0.4,0,Atalanta,3.3,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/7d3492a0/Cagliari-Atalanta-July-5-2020-Serie-A
331,30.0,Sun,2020-07-05,19:30,Udinese,0.6,2,Genoa,1.2,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/7da5685f/Udinese-Genoa-July-5-2020-Serie-A
332,30.0,Sun,2020-07-05,21:45,Napoli,2.5,2,Roma,0.8,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/e77b4ee8/Derby-del-Sole-Napoli-Roma-July-5-2020-Serie-A
334,31.0,Tue,2020-07-07,19:30,Lecce,2.6,2,Lazio,2.3,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/b8d24d75/Lecce-Lazio-July-7-2020-Serie-A
335,31.0,Tue,2020-07-07,21:45,Milan,2.2,4,Juventus,1.4,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/384d0cd5/Milan-Juventus-July-7-2020-Serie-A
336,31.0,Wed,2020-07-08,19:30,Genoa,0.5,1,Napoli,1.6,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/10c1d3be/Genoa-Napoli-July-8-2020-Serie-A
337,31.0,Wed,2020-07-08,19:30,Fiorentina,0.6,0,Cagliari,1.1,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/8ef15379/Fiorentina-Cagliari-July-8-2020-Serie-A
338,31.0,Wed,2020-07-08,21:45,Torino,1.9,3,Brescia,1.4,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/1a567ac6/Torino-Brescia-July-8-2020-Serie-A
339,31.0,Wed,2020-07-08,21:45,Atalanta,1.3,2,Sampdoria,1.1,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/2fdd3ca1/Atalanta-Sampdoria-July-8-2020-Serie-A
340,31.0,Wed,2020-07-08,21:45,Roma,3.2,2,Parma,1.2,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/7210abad/Roma-Parma-July-8-2020-Serie-A
341,31.0,Wed,2020-07-08,21:45,Bologna,1.2,1,Sassuolo,0.9,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/889c695c/Bologna-Sassuolo-July-8-2020-Serie-A
342,31.0,Thu,2020-07-09,19:30,SPAL,0.5,0,Udinese,1.4,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/14d20c4d/SPAL-Udinese-July-9-2020-Serie-A
343,31.0,Thu,2020-07-09,21:45,Hellas Verona,1.1,2,Inter,1.3,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/47b869bf/Hellas-Verona-Internazionale-July-9-2020-Serie-A
345,32.0,Sat,2020-07-11,17:15,Lazio,0.6,1,Sassuolo,2.0,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/3c6e39f7/Lazio-Sassuolo-July-11-2020-Serie-A
346,32.0,Sat,2020-07-11,19:30,Brescia,1.2,0,Roma,2.8,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/1085d180/Brescia-Roma-July-11-2020-Serie-A
347,32.0,Sat,2020-07-11,21:45,Juventus,2.0,2,Atalanta,0.7,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/69c87fd8/Juventus-Atalanta-July-11-2020-Serie-A
348,32.0,Sun,2020-07-12,17:15,Genoa,2.6,2,SPAL,0.1,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/833e8af0/Genoa-SPAL-July-12-2020-Serie-A
349,32.0,Sun,2020-07-12,19:30,Parma,1.3,2,Bologna,0.6,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/a2cc1cad/Parma-Bologna-July-12-2020-Serie-A
350,32.0,Sun,2020-07-12,19:30,Fiorentina,1.8,1,Hellas Verona,0.8,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/b44bf8d9/Fiorentina-Hellas-Verona-July-12-2020-Serie-A
351,32.0,Sun,2020-07-12,19:30,Udinese,0.8,1,Sampdoria,0.8,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/c7aef1f9/Udinese-Sampdoria-July-12-2020-Serie-A
352,32.0,Sun,2020-07-12,19:30,Cagliari,2.0,0,Lecce,1.3,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/e2fa228f/Cagliari-Lecce-July-12-2020-Serie-A
353,32.0,Sun,2020-07-12,21:45,Napoli,2.0,2,Milan,1.3,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/fcd04483/Napoli-Milan-July-12-2020-Serie-A
354,32.0,Mon,2020-07-13,21:45,Inter,2.3,3,Torino,1.5,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/add6aa58/Internazionale-Torino-July-13-2020-Serie-A
356,33.0,Tue,2020-07-14,21:45,Atalanta,1.8,6,Brescia,1.0,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/8f6f39fd/Atalanta-Brescia-July-14-2020-Serie-A
357,33.0,Wed,2020-07-15,19:30,Sampdoria,1.4,3,Cagliari,0.6,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/11ba6feb/Sampdoria-Cagliari-July-15-2020-Serie-A
358,33.0,Wed,2020-07-15,19:30,Bologna,0.7,1,Napoli,0.6,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/608ba7e4/Bologna-Napoli-July-15-2020-Serie-A
359,33.0,Wed,2020-07-15,19:30,Milan,2.3,3,Parma,1.0,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/85ebe97d/Milan-Parma-July-15-2020-Serie-A
360,33.0,Wed,2020-07-15,21:45,Udinese,1.2,0,Lazio,0.8,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/3dd32d74/Udinese-Lazio-July-15-2020-Serie-A
361,33.0,Wed,2020-07-15,21:45,Sassuolo,2.5,3,Juventus,2.6,3,Serie-A,2019-2020,0,https://fbref.com/en/matches/4215369c/Sassuolo-Juventus-July-15-2020-Serie-A
362,33.0,Wed,2020-07-15,21:45,Roma,2.3,2,Hellas Verona,1.1,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/6e569080/Roma-Hellas-Verona-July-15-2020-Serie-A
363,33.0,Wed,2020-07-15,21:45,Lecce,0.6,1,Fiorentina,2.2,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/d39cb4e3/Lecce-Fiorentina-July-15-2020-Serie-A
364,33.0,Thu,2020-07-16,19:30,Torino,1.0,3,Genoa,1.0,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/ca532f16/Torino-Genoa-July-16-2020-Serie-A
365,33.0,Thu,2020-07-16,21:45,SPAL,0.8,0,Inter,2.2,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/328d9e11/SPAL-Internazionale-July-16-2020-Serie-A
367,34.0,Sat,2020-07-18,17:15,Hellas Verona,0.9,1,Atalanta,1.7,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/05650a7d/Hellas-Verona-Atalanta-July-18-2020-Serie-A
368,34.0,Sat,2020-07-18,19:30,Cagliari,0.4,1,Sassuolo,0.5,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/95476842/Cagliari-Sassuolo-July-18-2020-Serie-A
369,34.0,Sat,2020-07-18,21:45,Milan,2.4,5,Bologna,0.5,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/069123b2/Milan-Bologna-July-18-2020-Serie-A
370,34.0,Sun,2020-07-19,17:15,Parma,1.2,2,Sampdoria,2.0,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/71c493e6/Parma-Sampdoria-July-19-2020-Serie-A
371,34.0,Sun,2020-07-19,19:30,Genoa,0.4,2,Lecce,1.8,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/27ba435a/Genoa-Lecce-July-19-2020-Serie-A
372,34.0,Sun,2020-07-19,19:30,Napoli,1.3,2,Udinese,0.8,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/6ed7c7da/Napoli-Udinese-July-19-2020-Serie-A
373,34.0,Sun,2020-07-19,19:30,Fiorentina,1.3,2,Torino,0.5,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/705f5fe5/Fiorentina-Torino-July-19-2020-Serie-A
374,34.0,Sun,2020-07-19,19:30,Brescia,1.3,2,SPAL,1.7,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/d2bd21de/Brescia-SPAL-July-19-2020-Serie-A
375,34.0,Sun,2020-07-19,21:45,Roma,1.2,2,Inter,1.5,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/e128fda4/Roma-Internazionale-July-19-2020-Serie-A
376,34.0,Mon,2020-07-20,21:45,Juventus,3.3,2,Lazio,1.4,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/588b69d5/Juventus-Lazio-July-20-2020-Serie-A
378,35.0,Tue,2020-07-21,19:30,Atalanta,1.5,1,Bologna,0.5,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/6d15b9b8/Atalanta-Bologna-July-21-2020-Serie-A
379,35.0,Tue,2020-07-21,21:45,Sassuolo,1.2,1,Milan,2.3,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/d5ac1520/Sassuolo-Milan-July-21-2020-Serie-A
380,35.0,Wed,2020-07-22,19:30,Parma,2.0,2,Napoli,1.6,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/859ed9c8/Parma-Napoli-July-22-2020-Serie-A
381,35.0,Wed,2020-07-22,21:45,Sampdoria,1.1,1,Genoa,1.1,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/4f400c38/Sampdoria-Genoa-July-22-2020-Serie-A
382,35.0,Wed,2020-07-22,21:45,Torino,0.8,1,Hellas Verona,1.4,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/a97c607e/Torino-Hellas-Verona-July-22-2020-Serie-A
383,35.0,Wed,2020-07-22,21:45,Inter,2.4,0,Fiorentina,1.0,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/ab64eb44/Internazionale-Fiorentina-July-22-2020-Serie-A
384,35.0,Wed,2020-07-22,21:45,Lecce,2.7,3,Brescia,1.0,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/c7b804c0/Lecce-Brescia-July-22-2020-Serie-A
385,35.0,Wed,2020-07-22,21:45,SPAL,0.8,1,Roma,1.6,6,Serie-A,2019-2020,-1,https://fbref.com/en/matches/f525b6e8/SPAL-Roma-July-22-2020-Serie-A
386,35.0,Thu,2020-07-23,19:30,Udinese,1.1,2,Juventus,0.7,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/bd1039f3/Udinese-Juventus-July-23-2020-Serie-A
387,35.0,Thu,2020-07-23,21:45,Lazio,1.6,2,Cagliari,0.6,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/ac261955/Lazio-Cagliari-July-23-2020-Serie-A
389,36.0,Fri,2020-07-24,21:45,Milan,0.5,1,Atalanta,2.0,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/8eb861f9/Milan-Atalanta-July-24-2020-Serie-A
390,36.0,Sat,2020-07-25,17:15,Brescia,1.7,1,Parma,1.6,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/22a89a37/Brescia-Parma-July-25-2020-Serie-A
391,36.0,Sat,2020-07-25,19:30,Genoa,0.5,0,Inter,2.1,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/ae7acfba/Genoa-Internazionale-July-25-2020-Serie-A
392,36.0,Sat,2020-07-25,21:45,Napoli,2.1,2,Sassuolo,0.6,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/d0a7b712/Napoli-Sassuolo-July-25-2020-Serie-A
393,36.0,Sun,2020-07-26,17:15,Bologna,2.6,3,Lecce,2.2,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/5bfe966b/Bologna-Lecce-July-26-2020-Serie-A
394,36.0,Sun,2020-07-26,19:30,Roma,2.7,2,Fiorentina,0.8,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/66a750bd/Roma-Fiorentina-July-26-2020-Serie-A
395,36.0,Sun,2020-07-26,19:30,SPAL,0.4,1,Torino,1.7,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/ab419e0b/SPAL-Torino-July-26-2020-Serie-A
396,36.0,Sun,2020-07-26,19:30,Hellas Verona,1.8,1,Lazio,2.3,5,Serie-A,2019-2020,-1,https://fbref.com/en/matches/e67f3da1/Hellas-Verona-Lazio-July-26-2020-Serie-A
397,36.0,Sun,2020-07-26,19:30,Cagliari,1.4,0,Udinese,1.0,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/f09e4b58/Cagliari-Udinese-July-26-2020-Serie-A
398,36.0,Sun,2020-07-26,21:45,Juventus,3.0,2,Sampdoria,1.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/d2da585b/Juventus-Sampdoria-July-26-2020-Serie-A
400,37.0,Tue,2020-07-28,19:30,Parma,1.7,1,Atalanta,1.4,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/3ed750d6/Parma-Atalanta-July-28-2020-Serie-A
401,37.0,Tue,2020-07-28,21:45,Inter,0.6,2,Napoli,1.1,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/e5481cdd/Internazionale-Napoli-July-28-2020-Serie-A
402,37.0,Wed,2020-07-29,19:30,Hellas Verona,2.0,3,SPAL,0.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/5d41021d/Hellas-Verona-SPAL-July-29-2020-Serie-A
403,37.0,Wed,2020-07-29,19:30,Udinese,1.2,1,Lecce,2.2,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/6f8b0e57/Udinese-Lecce-July-29-2020-Serie-A
404,37.0,Wed,2020-07-29,19:30,Lazio,3.5,2,Brescia,0.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/b0e8501c/Lazio-Brescia-July-29-2020-Serie-A
405,37.0,Wed,2020-07-29,19:30,Sassuolo,2.6,5,Genoa,1.1,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/dd1b303e/Sassuolo-Genoa-July-29-2020-Serie-A
406,37.0,Wed,2020-07-29,19:30,Sampdoria,2.3,1,Milan,2.7,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/f37d9898/Sampdoria-Milan-July-29-2020-Serie-A
407,37.0,Wed,2020-07-29,21:45,Fiorentina,2.1,4,Bologna,1.4,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/0a478689/Derby-dellAppennino-Fiorentina-Bologna-July-29-2020-Serie-A
408,37.0,Wed,2020-07-29,21:45,Torino,0.9,2,Roma,2.1,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/710a1dbf/Torino-Roma-July-29-2020-Serie-A
409,37.0,Wed,2020-07-29,21:45,Cagliari,1.1,2,Juventus,1.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/7c93a395/Cagliari-Juventus-July-29-2020-Serie-A
411,38.0,Sat,2020-08-01,18:00,Brescia,1.7,1,Sampdoria,1.9,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/d1352c1c/Brescia-Sampdoria-August-1-2020-Serie-A
412,38.0,Sat,2020-08-01,20:45,Juventus,1.2,1,Roma,1.7,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/6277f415/Juventus-Roma-August-1-2020-Serie-A
413,38.0,Sat,2020-08-01,20:45,Napoli,1.7,3,Lazio,1.2,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/671ca1ba/Napoli-Lazio-August-1-2020-Serie-A
414,38.0,Sat,2020-08-01,20:45,Atalanta,1.2,0,Inter,0.7,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/a49b41b1/Atalanta-Internazionale-August-1-2020-Serie-A
415,38.0,Sat,2020-08-01,20:45,Milan,2.7,3,Cagliari,0.2,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/d4584839/Milan-Cagliari-August-1-2020-Serie-A
416,38.0,Sun,2020-08-02,18:00,SPAL,0.5,1,Fiorentina,2.3,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/73dc3e92/SPAL-Fiorentina-August-2-2020-Serie-A
417,38.0,Sun,2020-08-02,20:45,Genoa,0.8,3,Hellas Verona,1.1,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/014d1244/Genoa-Hellas-Verona-August-2-2020-Serie-A
418,38.0,Sun,2020-08-02,20:45,Sassuolo,1.3,0,Udinese,1.7,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/6fc1b0dd/Sassuolo-Udinese-August-2-2020-Serie-A
419,38.0,Sun,2020-08-02,20:45,Bologna,0.9,1,Torino,1.9,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/9d9f22b7/Bologna-Torino-August-2-2020-Serie-A
420,38.0,Sun,2020-08-02,20:45,Lecce,2.7,3,Parma,3.2,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/a2f2dce1/Lecce-Parma-August-2-2020-Serie-A
